key,name,level,store,parentStoreTag,url,Tags
home-kitchenware/crockery-tableware-glasses,"Crockery, Tableware & Glasses",2,,,https://shop.countdown.co.nz/Shop/Browse/home-kitchenware/crockery-tableware-glasses,
cleaning-homecare/home-handyman/house-wash-detergent,House Wash Detergent,3,,,https://shop.countdown.co.nz/Shop/Browse/cleaning-homecare/home-handyman/house-wash-detergent,
meat-seafood/chicken-other-poultry/chicken-bites,Chicken Bites,3,,,https://shop.countdown.co.nz/Shop/Browse/meat-seafood/chicken-other-poultry/chicken-bites,
baby-care/baby-food-one-year-,Baby Food One Year +,2,,,https://shop.countdown.co.nz/Shop/Browse/baby-care/baby-food-one-year-,
cleaning-homecare/cleaning-products/oven-cleaner,Oven Cleaner,3,,,https://shop.countdown.co.nz/Shop/Browse/cleaning-homecare/cleaning-products/oven-cleaner,
meal-ingredients/side-dishes/diamond-rice-risotto,Diamond Rice Risotto,3,,,https://shop.countdown.co.nz/Shop/Browse/meal-ingredients/side-dishes/diamond-rice-risotto,
breakfast-foods/jam-marmalade/mixed-berry-jam,Mixed Berry Jam,3,,,https://shop.countdown.co.nz/Shop/Browse/breakfast-foods/jam-marmalade/mixed-berry-jam,
fruit-vegetables/other-vegetables/eggplant,Eggplant,3,,,https://shop.countdown.co.nz/Shop/Browse/fruit-vegetables/other-vegetables/eggplant,
meat-seafood/pork/lamb-mince,Lamb Mince,3,,,https://shop.countdown.co.nz/Shop/Browse/meat-seafood/pork/lamb-mince,
personal-care/hair-care/hair-colour-remover,Hair Colour Remover,3,,,https://shop.countdown.co.nz/Shop/Browse/personal-care/hair-care/hair-colour-remover,
bakery/crumpets-english-muffins/crumpets,Crumpets,3,,,https://shop.countdown.co.nz/Shop/Browse/bakery/crumpets-english-muffins/crumpets,
pet-care/canned-pouched-cat-food/chef-fine-cuts,Chef Fine Cuts,3,,,https://shop.countdown.co.nz/Shop/Browse/pet-care/canned-pouched-cat-food/chef-fine-cuts,
frozen-foods/dessert/cream-puffs,Cream Puffs,3,,,https://shop.countdown.co.nz/Shop/Browse/frozen-foods/dessert/cream-puffs,
bakery/flat-breads/focaccia,Focaccia,3,,,https://shop.countdown.co.nz/Shop/Browse/bakery/flat-breads/focaccia,
personal-care/family-planning/ovulation-stick,Ovulation Stick,3,,,https://shop.countdown.co.nz/Shop/Browse/personal-care/family-planning/ovulation-stick,
toys-party-needs/disposable-cutlery-dinnerware/teaspoons,Teaspoons,3,,,https://shop.countdown.co.nz/Shop/Browse/toys-party-needs/disposable-cutlery-dinnerware/teaspoons,
cleaning-homecare/lighting-electrical/safety-plugs,Safety Plugs,3,,,https://shop.countdown.co.nz/Shop/Browse/cleaning-homecare/lighting-electrical/safety-plugs,
cleaning-homecare/insecticide-pest-control/candle,Candle,3,,,https://shop.countdown.co.nz/Shop/Browse/cleaning-homecare/insecticide-pest-control/candle,
chocolate-sweets-snacks/chocolate-blocks/lindt-creation,Lindt Creation,3,,,https://shop.countdown.co.nz/Shop/Browse/chocolate-sweets-snacks/chocolate-blocks/lindt-creation,
baking-cooking/food-wrap-kitchen-bags/lunch-wrap,Lunch Wrap,3,,,https://shop.countdown.co.nz/Shop/Browse/baking-cooking/food-wrap-kitchen-bags/lunch-wrap,
bakery/croissants-pastries-sweet-buns,"Croissants, Pastries & Sweet Buns",2,,,https://shop.countdown.co.nz/Shop/Browse/bakery/croissants-pastries-sweet-buns,
home-kitchenware/kitchen-baking-accessories/baking-beads,Baking Beads,3,,,https://shop.countdown.co.nz/Shop/Browse/home-kitchenware/kitchen-baking-accessories/baking-beads,
baking-cooking/baking-additives/lime-juice,Lime Juice,3,,,https://shop.countdown.co.nz/Shop/Browse/baking-cooking/baking-additives/lime-juice,
personal-care/cosmetics-fragrances/eyebrow-kit,Eyebrow Kit,3,,,https://shop.countdown.co.nz/Shop/Browse/personal-care/cosmetics-fragrances/eyebrow-kit,
toys-party-needs/games-puzzles/game,Game,3,,,https://shop.countdown.co.nz/Shop/Browse/toys-party-needs/games-puzzles/game,
baking-cooking/dessert-mixes/sago,Sago,3,,,https://shop.countdown.co.nz/Shop/Browse/baking-cooking/dessert-mixes/sago,
canned-prepared-foods/fruit/passionfruit,Passionfruit,3,,,https://shop.countdown.co.nz/Shop/Browse/canned-prepared-foods/fruit/passionfruit,
frozen-foods/poultry/chicken-steaks,Chicken Steaks,3,,,https://shop.countdown.co.nz/Shop/Browse/frozen-foods/poultry/chicken-steaks,
home-kitchenware/cutlery-kitchen-utensils/citrus-zester,Citrus Zester,3,,,https://shop.countdown.co.nz/Shop/Browse/home-kitchenware/cutlery-kitchen-utensils/citrus-zester,
liquor-beer-cider/beer/panhead-brewery,Panhead Brewery,3,,,https://shop.countdown.co.nz/Shop/Browse/liquor-beer-cider/beer/panhead-brewery,
liquor-beer-cider/beer/new-zealand,New Zealand,3,,,https://shop.countdown.co.nz/Shop/Browse/liquor-beer-cider/beer/new-zealand,
deli-chilled-foods/yoghurt-dairy-food/yoghurt-pouch,Yoghurt Pouch,3,,,https://shop.countdown.co.nz/Shop/Browse/deli-chilled-foods/yoghurt-dairy-food/yoghurt-pouch,
health-wellness/gluten-free/bread-crumbs,Bread Crumbs,3,,,https://shop.countdown.co.nz/Shop/Browse/health-wellness/gluten-free/bread-crumbs,
meat-seafood/chicken-other-poultry/chicken-drumsticks,Chicken Drumsticks,3,,,https://shop.countdown.co.nz/Shop/Browse/meat-seafood/chicken-other-poultry/chicken-drumsticks,
meal-ingredients/sauces/tomato-puree,Tomato Puree,3,,,https://shop.countdown.co.nz/Shop/Browse/meal-ingredients/sauces/tomato-puree,
frozen-foods/fries-vegetables/brussel-sprouts,Brussel Sprouts,3,,,https://shop.countdown.co.nz/Shop/Browse/frozen-foods/fries-vegetables/brussel-sprouts,
cleaning-homecare/lighting-electrical/screw-light-bulb,Screw Light Bulb,3,,,https://shop.countdown.co.nz/Shop/Browse/cleaning-homecare/lighting-electrical/screw-light-bulb,
frozen-foods/poultry/chicken-bites,Chicken Bites,3,,,https://shop.countdown.co.nz/Shop/Browse/frozen-foods/poultry/chicken-bites,
personal-care/cosmetics-fragrances/eye-shadow,Eye Shadow,3,,,https://shop.countdown.co.nz/Shop/Browse/personal-care/cosmetics-fragrances/eye-shadow,
deli-chilled-foods/fresh-pasta-sauces-soups-pesto/fresh-sauce,Fresh Sauce,3,,,https://shop.countdown.co.nz/Shop/Browse/deli-chilled-foods/fresh-pasta-sauces-soups-pesto/fresh-sauce,
breakfast-foods/cereal-wheat-biscuits,Cereal - Wheat Biscuits,2,,,https://shop.countdown.co.nz/Shop/Browse/breakfast-foods/cereal-wheat-biscuits,
liquor-beer-cider/beer/tiger,Tiger,3,,,https://shop.countdown.co.nz/Shop/Browse/liquor-beer-cider/beer/tiger,
breakfast-foods/cereal-hot/rolled-oats,Rolled Oats,3,,,https://shop.countdown.co.nz/Shop/Browse/breakfast-foods/cereal-hot/rolled-oats,
pet-care/canned-pouched-dog-food/vip-natures-gluten-free,Vip Natures Gluten Free,3,,,https://shop.countdown.co.nz/Shop/Browse/pet-care/canned-pouched-dog-food/vip-natures-gluten-free,
bakery/cakes-muffins-biscuits-slices/wholegrain-muffin,Wholegrain Muffin,3,,,https://shop.countdown.co.nz/Shop/Browse/bakery/cakes-muffins-biscuits-slices/wholegrain-muffin,
drinks-hot-cold/soft-drink/pepsi-next,Pepsi Next,3,,,https://shop.countdown.co.nz/Shop/Browse/drinks-hot-cold/soft-drink/pepsi-next,
home-kitchenware/promotional-items/prepaid-delivery,Prepaid Delivery,3,,,https://shop.countdown.co.nz/Shop/Browse/home-kitchenware/promotional-items/prepaid-delivery,
baking-cooking/eggs/eggs-12pk,Eggs 12pk,3,,,https://shop.countdown.co.nz/Shop/Browse/baking-cooking/eggs/eggs-12pk,
drinks-hot-cold/powdered-drink/vitafresh-99-sugar-free,Vitafresh 99% Sugar Free,3,,,https://shop.countdown.co.nz/Shop/Browse/drinks-hot-cold/powdered-drink/vitafresh-99-sugar-free,
frozen-foods/poultry/turkey-roast,Turkey Roast,3,,,https://shop.countdown.co.nz/Shop/Browse/frozen-foods/poultry/turkey-roast,
fruit-vegetables/fruit,Fruit,2,,,https://shop.countdown.co.nz/Shop/Browse/fruit-vegetables/fruit,
pet-care/dry-cat-food/harringtons-adult,Harringtons Adult,3,,,https://shop.countdown.co.nz/Shop/Browse/pet-care/dry-cat-food/harringtons-adult,
deli-chilled-foods/yoghurt-dairy-food/yoghurt-tub,Yoghurt Tub,3,,,https://shop.countdown.co.nz/Shop/Browse/deli-chilled-foods/yoghurt-dairy-food/yoghurt-tub,
pet-care/canned-pouched-dog-food/gourmet,Gourmet,3,,,https://shop.countdown.co.nz/Shop/Browse/pet-care/canned-pouched-dog-food/gourmet,
drinks-hot-cold/soft-drink/pepsi,Pepsi,3,,,https://shop.countdown.co.nz/Shop/Browse/drinks-hot-cold/soft-drink/pepsi,
home-kitchenware/kitchen-baking-accessories/avocado-saver,Avocado Saver,3,,,https://shop.countdown.co.nz/Shop/Browse/home-kitchenware/kitchen-baking-accessories/avocado-saver,
health-wellness/sports-weight-management/leppin-squeezy,Leppin Squeezy,3,,,https://shop.countdown.co.nz/Shop/Browse/health-wellness/sports-weight-management/leppin-squeezy,
liquor-beer-cider/beer/monteiths-pointers,Monteiths Pointers,3,,,https://shop.countdown.co.nz/Shop/Browse/liquor-beer-cider/beer/monteiths-pointers,
baby-care/baby-formula/toddler-from-1-year,Toddler From 1 Year,3,,,https://shop.countdown.co.nz/Shop/Browse/baby-care/baby-formula/toddler-from-1-year,
baking-cooking/tin-foil-oven-trays-oven-bags/foil-tray,Foil Tray,3,,,https://shop.countdown.co.nz/Shop/Browse/baking-cooking/tin-foil-oven-trays-oven-bags/foil-tray,
cleaning-homecare/air-freshener/diffuser,Diffuser,3,,,https://shop.countdown.co.nz/Shop/Browse/cleaning-homecare/air-freshener/diffuser,
toys-party-needs/toys/bath-toys,Bath Toys,3,,,https://shop.countdown.co.nz/Shop/Browse/toys-party-needs/toys/bath-toys,
meal-ingredients/dried-vegetables/pasta-dish,Pasta Dish,3,,,https://shop.countdown.co.nz/Shop/Browse/meal-ingredients/dried-vegetables/pasta-dish,
health-wellness/supplements-wellbeing/multi-vitamins,Multi-vitamins,3,,,https://shop.countdown.co.nz/Shop/Browse/health-wellness/supplements-wellbeing/multi-vitamins,
pet-care/pet-accessories/bird-accessories,Bird Accessories,3,,,https://shop.countdown.co.nz/Shop/Browse/pet-care/pet-accessories/bird-accessories,
health-wellness/dairy-and-lactose-free/gelato,Gelato,3,,,https://shop.countdown.co.nz/Shop/Browse/health-wellness/dairy-and-lactose-free/gelato,
cleaning-homecare/batteries/a27-battery,A27 Battery,3,,,https://shop.countdown.co.nz/Shop/Browse/cleaning-homecare/batteries/a27-battery,
canned-prepared-foods/vegetarian/meat-alternative,Meat Alternative,3,,,https://shop.countdown.co.nz/Shop/Browse/canned-prepared-foods/vegetarian/meat-alternative,
