key,name,level,store,parentStoreTag,url,Tags
aromatherapy,Aromatherapy,1,,,https://www.health2000.co.nz/shop/online-store/aromatherapy,health-wellness
immune-system,Immune System,1,,,https://www.health2000.co.nz/shop/online-store/immune-system,health-wellness
heart-circulation,Heart & Circulation,1,,,https://www.health2000.co.nz/shop/online-store/heart-circulation,health-wellness
superfoods,Superfoods,1,,,https://www.health2000.co.nz/shop/online-store/superfoods,health-wellness
mens-health,Men's Health,1,,,https://www.health2000.co.nz/shop/online-store/mens-health,health-wellness
allergies,Allergies,1,,,https://www.health2000.co.nz/shop/online-store/allergies,health-wellness
digestion,Digestion,1,,,https://www.health2000.co.nz/shop/online-store/digestion,health-wellness
detox,Detox,1,,,https://www.health2000.co.nz/shop/online-store/detox,health-wellness
energy,Energy,1,,,https://www.health2000.co.nz/shop/online-store/energy,health-wellness
organic-products,Organic Products,1,,,https://www.health2000.co.nz/shop/online-store/organic-products,meal-ingredients
beauty,Beauty,1,,,https://www.health2000.co.nz/shop/online-store/beauty,beauty-personal-care
stress-and-mood,Stress and Mood,1,,,https://www.health2000.co.nz/shop/online-store/stress-and-mood,health-wellness
magnesium,Magnesium,1,,,https://www.health2000.co.nz/shop/online-store/magnesium,health-wellness
garcinia-cambogia,Garcinia Cambogia,1,,,https://www.health2000.co.nz/shop/online-store/garcinia-cambogia,health-wellness
brain-health,Brain Health,1,,,https://www.health2000.co.nz/shop/online-store/brain-health,health-wellness
childrens-health,Children's Health,1,,,https://www.health2000.co.nz/shop/online-store/childrens-health,health-wellness
sports,Sports,1,,,https://www.health2000.co.nz/shop/online-store/sports,health-wellness
fish-and-omega-oils,Fish and Omega Oils,1,,,https://www.health2000.co.nz/shop/online-store/fish-and-omega-oils,health-wellness
bone-health,Bone Health,1,,,https://www.health2000.co.nz/shop/online-store/bone-health,health-wellness
oral-care,Oral Care,1,,,https://www.health2000.co.nz/shop/online-store/oral-care,health-wellness
homoeopathy,Homoeopathy,1,,,https://www.health2000.co.nz/shop/online-store/homoeopathy,health-wellness
probiotics,Probiotics,1,,,https://www.health2000.co.nz/shop/online-store/probiotics,health-wellness
joint-support,Joint Support,1,,,https://www.health2000.co.nz/shop/online-store/joint-support,health-wellness
womens-health,Women's Health,1,,,https://www.health2000.co.nz/shop/online-store/womens-health,health-wellness
multivitamins,Multivitamins,1,,,https://www.health2000.co.nz/shop/online-store/multivitamins,health-wellness
weight-management,Weight Management,1,,,https://www.health2000.co.nz/shop/online-store/weight-management,health-wellness
pet-care,Pet Care,1,,,https://www.health2000.co.nz/shop/online-store/pet-care,pet-care
skincare,Skincare,1,,,https://www.health2000.co.nz/shop/online-store/skincare,health-wellness
sleep,Sleep,1,,,https://www.health2000.co.nz/shop/online-store/sleep,health-wellness
food,Food,1,,,https://www.health2000.co.nz/shop/online-store/food,health-wellness
tissue-salts,Tissue Salts,1,,,https://www.health2000.co.nz/shop/online-store/tissue-salts,health-wellness
eyes-and-vision,Eyes and Vision,1,,,https://www.health2000.co.nz/shop/online-store/eyes-and-vision,health-wellness
