SSL Item,Popular Flag,Tag / Category,Synonyms / Alternate spelling,Tags,Popular Items
Aioli,,meal-ingredients,,baby-care,Apples
Air Freshener,,home-kitchenware,,bakery,Baked Beans
Allspice,,baking-cooking,,baking-cooking,Bananas
Aluminium Foil,,home-kitchenware,"Silver Foil, Foil Wrap",biscuits-crackers,Beer
American Mustard,,meal-ingredients,,breakfast-foods,Biscuits
Aniseed,,baking-cooking,,canned-prepared-foods,Bread
Apples,X,fruit-vegetables,Apple,chocolate-sweets-snacks,Butter
Apricots,,fruit-vegetables,Apricot,cleaning-homecare,Carrots
Avocados,,fruit-vegetables,Avocado,clothing-manchester,Cheese
Baby Wipes,,baby-care,,deli-chilled-foods,Chicken 
Bags,,home-kitchenware,Plastic Bags,drinks-hot-cold,Chips
Baked Beans,X,canned-prepared-foods,,frozen-foods,Chocolate
Baking Paper,,home-kitchenware,,fruit-vegetables,Coffee
Baking Powder,,baking-cooking,,health-wellness,Corn Flakes
Baking Soda,,baking-cooking,,home-kitchenware,Dish Powder
Balsamic Vinegar,,baking-cooking,Vinegar,liquor-beer-cider,Eggs
Banana Chips,,chocolate-sweets-snacks,,liquor-wine,Fish
Bananas,X,fruit-vegetables,Banana,meal-ingredients,Flour
Bathroom Cleaner,,cleaning-homecare,,meat-seafood,Jam
Batteries,,home-kitchenware,Battery,office-entertainment,Kiwi Fruit
Beef,,meat-seafood,Meat,personal-care,Lettuce
Beer,X,liquor-beer-cider,,pet-care,Macaroni
Beetroot,,fruit-vegetables,,toys-party-needs,Mayonnaise
Biscuits,X,biscuits-crackers,cookies,,Milk
Black Beans,,meal-ingredients,,,Milo
Black Pepper,,baking-cooking,,,Muesli
Bleach,,cleaning-homecare,,,Nappies
Body Milk,,personal-care,Body Lotion,,Olive Oil
Body Soap,,personal-care,Body Wash,,Peanut Butter
Bourbon,,liquor-beer-cider,,,Porridge
Bran oil,,health-wellness,,,Potatoes
Bread,X,bakery,,,Rice
Broccoli,,fruit-vegetables,,,Salt
Brown Rice,,baking-cooking,,,Shampoo
Brown Sugar,,baking-cooking,,,Soap
Butter,X,deli-chilled-foods,,,Spaghetti
Canned Tomatoes,,canned-prepared-foods,,,Sugar
Canola Oil,,baking-cooking,,,Tea 
Capers,,baking-cooking,,,Toilet Paper
Cardamom,,baking-cooking,,,Tomato Sauce
Carrots,X,fruit-vegetables,,,Tooth brush
Cat Food,,pet-care,"cat biscuits, cat meat, pet food",,Toothpaste
Cheese,X,deli-chilled-foods,"cheddar cheese, colby, tasty, edam, gouda",,Vinegar
Chicken ,X,meat-seafood,"Chicken Breast, Chicken Legs, Chicken Wings, Meat",,Weet-Bix
Chickpeas,,baking-cooking,,,
Chili Powder,,baking-cooking,Ground Chili,,
Chili Sauce,,baking-cooking,,,
Chinese Herbs,,baking-cooking,,,
Chips,X,biscuits-crackers,Potato Chips,,
Chocolate,X,chocolate-sweets-snacks,chocolates,,
Chocolate Chips,,baking-cooking,Chocolate Melts,,
Cinnamon,,baking-cooking,,,
Cling Wrap,,home-kitchenware,"Plastic Wrap, Glad Wrap",,
Cloves,,baking-cooking,,,
Coconut Cream,,canned-prepared-foods,,,
Coconut Milk,,canned-prepared-foods,,,
Coconut Oil,,baking-cooking,,,
Coffee,X,drinks-hot-cold,"Instant Coffee, coffee beans, coffee grounds",,
Coffee Beans,,drinks-hot-cold,,,
Condensed milk,,baking-cooking,Sweetened Condensed Milk,,
Conditioner,,personal-care,Hair Conditioner,,
Condoms,,personal-care,Joes,,
Coriander,,baking-cooking,,,
Coriander Seeds,,baking-cooking,,,
Corn Flakes,X,breakfast-foods,,,
Corn Flour,,baking-cooking,,,
Corn thins,,biscuits-crackers,,,
Cotton Buds,,personal-care,,,
Cranberries ,,baking-cooking,,,
Cream,,deli-chilled-foods,Fresh Cream,,
Cream Cheese,,deli-chilled-foods,,,
Cumin,,baking-cooking,Cranberry,,
Curry Paste,,baking-cooking,,,
Dates,,baking-cooking,,,
Dental Floss,,personal-care,,,
Deodorant,,personal-care,,,
Dessicated Coconut,,baking-cooking,,,
Dijon Mustard,,baking-cooking,Dijonaise,,
Dish Brush,,cleaning-homecare,Dish washing brush,,
Dish Cloth,,cleaning-homecare,,,
Dish Gloves,,cleaning-homecare,Dishwash Gloves,,
Dish Powder,X,cleaning-homecare,Dishwashing powder,,
Dish Sponge,,cleaning-homecare,,,
Dish Washing Liquid,,cleaning-homecare,Dishwash Liquid,,
Dog Food,,pet-care,"Dog Biscuits, Dog Meat, Pet Food",,
Dried Apricot,,baking-cooking,Dry Apricot,,
Dried Chili,,baking-cooking,Dry Chilli,,
Dried Fig,,baking-cooking,Dry Fig,,
Dried Mint,,baking-cooking,Dry Mint,,
Dried Prunes,,baking-cooking,Dry Prunes,,
Dried Yeast,,baking-cooking,Dry Yeast,,
Eggs,X,deli-chilled-foods,egg,,
Fabric Softener,,cleaning-homecare,"fabric conditioner, laundry conditioner",,
Feijoa,,fruit-vegetables,figoa,,
Fish,X,meat-seafood,,,
Fish Oil,,health-wellness,Omega,,
Fish Sauce,,baking-cooking,,,
Flour,X,baking-cooking,,,
Freezer Bag,,home-kitchenware,,,
Frozen Blueberry,,frozen-foods,,,
Frozen Fish Fillets,,frozen-foods,,,
Frozen Shrimp,,frozen-foods,,,
Frozen Vegetables,,frozen-foods,Frozen vegies,,
Garam Masala,,baking-cooking,,,
Garlic,,fruit-vegetables,,,
Garlic Powder,,baking-cooking,,,
Ginger,,fruit-vegetables,,,
Ginger Powder,,baking-cooking,,,
Golden Syrup,,baking-cooking,,,
Grape Seed Oil,,baking-cooking,,,
Green Tea,,drinks-hot-cold,,,
Hair Ties,,personal-care,,,
Hand Wash Liquid,,personal-care,Liquid Soap ,,
Herbs,,baking-cooking,,,
Honey,,breakfast-foods,,,
Hot chocolate,,drinks-hot-cold,,,
Ice Cream,,frozen-foods,,,
Ice Cream Cones,,chocolate-sweets-snacks,,,
Icing Sugar,,baking-cooking,,,
Instant Noodles,,baking-cooking,,,
Jam,X,breakfast-foods,,,
Jasmine Rice,,baking-cooking,,,
Ketchup,,baking-cooking,Tomato Ketchup,,
Kitchen Roll,,home-kitchenware,Paper Towel,,
Kitchen Towel,,home-kitchenware,,,
Kiwi Fruit,X,fruit-vegetables,,,
Lightbulb,,home-kitchenware,"Lightbulb, Lamp",,
Laundry Soaker,,cleaning-homecare,,,
Lemons,,fruit-vegetables,,,
Lentils,,baking-cooking,,,
Lettuce,X,fruit-vegetables,,,
Limes,,fruit-vegetables,,,
Long Life Milk,,drinks-hot-cold,UHT milk,,
Lozenges,,health-wellness,,,
Macaroni,X,baking-cooking,,,
Mandarins,,fruit-vegetables,,,
Marmite,,breakfast-foods,,,
Mayonnaise,X,baking-cooking,,,
Milk,X,deli-chilled-foods,"Blue Milk, Green Milk",,
Milk Chocolate,,chocolate-sweets-snacks,Cadbury Dairymilk,,
Milk Powder,,baking-cooking,,,
Milo,X,drinks-hot-cold,,,
Minced Beef,,meat-seafood,mince,,
Minced Garlic,,baking-cooking,,,
Minced Ginger,,baking-cooking,,,
Minced Lamb,,meat-seafood,,,
Mixed Spice,,baking-cooking,,,
Mouth Wash,,personal-care,,,
Muesli,X,breakfast-foods,"Meusli, musli",,
Multi Purpose Cleaner,,cleaning-homecare,Kitchen Cleaner,,
Mushrooms,,fruit-vegetables,,,
Mustard Sauce,,baking-cooking,,,
Mustard Seed,,baking-cooking,,,
Nappies,X,baby-care,"Diapers, Nappy",,
Nutella,,breakfast-foods,Hazelnut Spread,,
Nutmeg,,baking-cooking,,,
Oats,,breakfast-foods,Rolled Oats,,
Olive Oil,X,baking-cooking,,,
Olives,,baking-cooking,,,
Onions,,fruit-vegetables,,,
Oranges,,fruit-vegetables,,,
Paprika,,baking-cooking,,,
Paracetamol,,health-wellness,,,
Paragon,,baking-cooking,,,
Pasta,,baking-cooking,,,
Pasta Paste,,baking-cooking,Pasta Sauce,,
Peanut Butter,X,breakfast-foods,,,
Peanuts,,biscuits-crackers,,,
Pears,,fruit-vegetables,,,
Pepper,,baking-cooking,,,
Pesto,,baking-cooking,,,
Pita Bread,,bakery,Flat Bread,,
Pizza Sauce,,baking-cooking,,,
Plasters,,health-wellness,Bandages,,
Pop Corn,,chocolate-sweets-snacks,,,
Pork,,meat-seafood,Meat,,
Porridge,X,breakfast-foods,Rolled Oats,,
Potatoes,X,fruit-vegetables,,,
Pretzels,,chocolate-sweets-snacks,,,
Pumpkin,,fruit-vegetables,,,
Pumpkin toast,,bakery,,,
Quince,,baking-cooking,,,
Quinoa,,baking-cooking,,,
Raisins,,baking-cooking,,,
Rat Food,,pet-care,,,
Raw Sugar,,baking-cooking,,,
Razor Blades,,personal-care,,,
Red Bean,,baking-cooking,,,
Red Wine,,liquor-wine,"merlot, pinot noir, cabernet",,
Rice,X,baking-cooking,,,
Rice Crakers,,biscuits-crackers,,,
Rinse Aid,,home-kitchenware,,,
Roasted Almonds,,baking-cooking,,,
Rosemary,,baking-cooking,,,
Rubbish Bags,,home-kitchenware,,,
Sage,,baking-cooking,,,
Salt,X,baking-cooking,Table Salt,,
Sea Salt,,baking-cooking,,,
Self Raising Flour,,baking-cooking,,,
Semi Soft Butter,,deli-chilled-foods,,,
Sesame Oil,,baking-cooking,,,
Sesame Seeds,,baking-cooking,,,
Shampoo,X,personal-care,,,
Shaving Cream,,personal-care,,,
Sliced Cheese,,deli-chilled-foods,,,
Soap,X,personal-care,,,
Soft Drink,,drinks-hot-cold,"fanta, coke, sprite, cola, 7up",,
Sour Cream,,deli-chilled-foods,,,
Soy Sauce,,baking-cooking,,,
Spaghetti,X,baking-cooking,,,
Star Anise,,baking-cooking,,,
Steak Sauce,,baking-cooking,,,
Steel Scourers,,cleaning-homecare,,,
Sugar,X,baking-cooking,White Sugar,,
Sun Dried Tomato,,baking-cooking,,,
Sunflower Seed,,baking-cooking,,,
Sweet Chili Sauce,,baking-cooking,,,
Tarragon,,baking-cooking,,,
Tea ,X,drinks-hot-cold,Tea bags,,
Tissue,,personal-care,,,
Tobasco,,baking-cooking,,,
Toilet Cleaner,,cleaning-homecare,Toilet Cleaning Liquid,,
Toilet Paper,X,cleaning-homecare,,,
Tomato Paste,,baking-cooking,,,
Tomato Sauce,,baking-cooking,Tomato Source,,
Tomatoes,X,fruit-vegetables,,,
Tooth brush,X,personal-care,,,
Toothpaste,X,personal-care,,,
Tumeric,,baking-cooking,Turmeric,,
Tuna,,meat-seafood,,,
Vanilla Extract,,baking-cooking,,,
Vegemite,,breakfast-foods,,,
Vinegar,X,baking-cooking,,,
Vitamin C,,health-wellness,,,
Vitamins,,health-wellness,,,
Washing Powder,,cleaning-homecare,Laundry Powder,,
Water,,baking-cooking,,,
Weet-Bix,X,breakfast-foods,,,
White Rice,X,baking-cooking,,,
White Wine,,liquor-wine,"chardonay, sauvignon blanc",,
Wholemeal Flour,,baking-cooking,,,
Window Cleaner,,cleaning-homecare,,,
Wipes,,cleaning-homecare,"Cleaning Wipes, Kitchen Wipes",,
Yeast,,baking-cooking,,,
Yoghurt,,deli-chilled-foods,"yogurt, yogort",,
