key,name,level,store,parentStoreTag,url,Tags
clothing-jewellery/clothingshoesjewellery-jewellery/clothingshoesjewellery-jewellery-watches,Watches,3,,,http://www.thewarehouse.co.nz/c/clothing-jewellery/fine-jewellery/watches,jewellery
food-pets-household/foodhouseholdpets-fooddrink/foodhouseholdpets-fooddrink-chocolates,Chocolates,3,,,http://www.thewarehouse.co.nz/c/food-pets-household/food-drink/chocolates,chocolate-sweets-snacks
clothing-jewellery/clothingshoesjewellery-shoes/clothingshoesjewellery-shoes-kidsshoes,Kids' Shoes,3,,,http://www.thewarehouse.co.nz/c/clothing-jewellery/shoes/kids-shoes,clothing-shoes-bags
home-garden/homegarden-homeappliances,Home Appliances,2,,,http://www.thewarehouse.co.nz/c/home-garden/home-appliances,home-kitchenware-manchester
home-garden/homegarden-homewares/homegarden-homewares-homedecoraccessories,Home Accessories & Décor,3,,,http://www.thewarehouse.co.nz/c/home-garden/homewares/home-accessories-d%C3%A9cor,home-kitchenware-manchester
health-beauty/healthbeauty-oralcare/healthbeauty-oralcare-electrictoothbrushes,Electric Toothbrushes,3,,,http://www.thewarehouse.co.nz/c/health-beauty/oral-care/electric-toothbrushes,electronics-gaming-giftcards
health-beauty/healthbeauty-haircare/healthbeauty-haircare-haircolours,Hair Colours,3,,,http://www.thewarehouse.co.nz/c/health-beauty/hair-care/hair-colours,beauty-personal-care
clothing-jewellery/clothingshoesjewellery-kidsclothing/clothingshoesjewellery-kidsclothing-olderboys,Older Boys (8-16yrs),3,,,http://www.thewarehouse.co.nz/c/clothing-jewellery/kids-clothing/older-boys-%288-16yrs%29,clothing-shoes-bags
sports-outdoors/sportsoutdoors-camping/sportsoutdoors-camping-airbeds,Air Beds,3,,,http://www.thewarehouse.co.nz/c/sports-outdoors/camping/air-beds,sports-outdoors
food-pets-household/foodhouseholdpets-topbrands/foodhouseholdpets-topbrands-persil,Persil,3,,,http://www.thewarehouse.co.nz/c/food-pets-household/top-brands/persil,cleaning-homecare
books-music-movies/booksmusicmovies-byformat/booksmusicmovies-byformat-4k,4K,3,,,http://www.thewarehouse.co.nz/c/books-music-movies/by-format/4k,books-music-movies
food-pets-household/foodhouseholdpets-petcare/foodhouseholdpets-petcare-petfood,Pet Food,3,,,http://www.thewarehouse.co.nz/c/food-pets-household/pet-care/pet-food,pet-care
clothing-jewellery/clothingshoesjewellery-jewellery/clothingshoesjewellery-jewellery-earrings,Earrings,3,,,http://www.thewarehouse.co.nz/c/clothing-jewellery/fine-jewellery/earrings,jewellery
inspiration/ideasinspiration-diyadvice/ideasinspiration-diyadvice-beddingbuyingguide,Bedding Buying Guide,3,,,http://www.thewarehouse.co.nz/c/inspiration/ideas-advice/bedding-buying-guide,home-furniture
auto-diy/autodiy-automotive/autodiy-automotive-engineoilsfluids,Engine Oils & Fluids,3,,,http://www.thewarehouse.co.nz/c/auto-diy/automotive/engine-oils-fluids,auto-diy
auto-diy/autodiy-topbrands/autodiy-topbrands-stanley,Stanley,3,,,http://www.thewarehouse.co.nz/c/auto-diy/top-brands/stanley,auto-diy
inspiration/ideasinspiration-diyadvice/ideasinspiration-diyadvice-curtainfaqs,Curtain FAQs,3,,,http://www.thewarehouse.co.nz/c/inspiration/ideas-advice/curtain-faqs,home-furniture
electronics-gaming/electronicsgaming-audio/electronicsgaming-audio-ipodsmp3players,iPods & Mp3 Players,3,,,http://www.thewarehouse.co.nz/c/electronics-gaming/audio-/ipods-mp3-players,electronics-gaming-giftcards
craft-party-stationery/stationerycraftparty-stationeryofficesupplies/stationerycraftparty-stationeryofficesupplies-calendarsdiaries,Calendars & Diaries,3,,,http://www.thewarehouse.co.nz/c/craft-party-stationery/stationery-office/calendars-diaries,office-craft
sports-outdoors/sportsoutdoors-bikes/sportsoutdoors-bikes-bikeaccessories,Bike Accessories,3,,,http://www.thewarehouse.co.nz/c/sports-outdoors/bikes/bike-accessories,sports-outdoors
inspiration/ideasinspiration-diyadvice/ideasinspiration-diyadvice-wallpapertipstricks,Wallpaper Tips & Tricks,3,,,http://www.thewarehouse.co.nz/c/inspiration/ideas-advice/wallpaper-tips-tricks,home-furniture
home-garden/homegarden-gardening/homegarden-gardening-gardenpowertools,Garden Power Tools,3,,,http://www.thewarehouse.co.nz/c/home-garden/gardening/garden-power-tools,garden
craft-party-stationery/stationerycraftparty-stationeryofficesupplies/stationerycraftparty-stationeryofficesupplies-postagepackaging,Postage & Packaging,3,,,http://www.thewarehouse.co.nz/c/craft-party-stationery/stationery-office/postage-packaging,office-craft
craft-party-stationery/stationerycraftparty-partysupplies/stationerycraftparty-partysupplies-partyfavours,Party Favours,3,,,http://www.thewarehouse.co.nz/c/craft-party-stationery/party-supplies/party-favours,toys-party
inspiration/ideasinspiration-gifting/ideasinspiration-gifting-interest,Gifts by Interest,3,,,http://www.thewarehouse.co.nz/c/inspiration/gifting/gifts-by-interest,
clothing-jewellery/clothingshoesjewellery-topbrands/clothingshoesjewellery-topbrands-activeintent,Active Intent,3,,,http://www.thewarehouse.co.nz/c/clothing-jewellery/top-brands/active-intent,clothing-shoes-bags
sports-outdoors/sportsoutdoors-scootersskates,Scooters & Skates,2,,,http://www.thewarehouse.co.nz/c/sports-outdoors/scooters-skates,sports-outdoors
toys-baby/toysbaby-toys/toysbaby-toys-animalplaysets,Animal Playsets,3,,,http://www.thewarehouse.co.nz/c/toys-baby/toys/animal-playsets,baby-care-toys
inspiration/ideasinspiration-spring,Spring,2,,,http://www.thewarehouse.co.nz/c/inspiration/spring,
craft-party-stationery/stationerycraftparty-stationeryofficesupplies/stationerycraftparty-stationeryofficesupplies-paper,Paper,3,,,http://www.thewarehouse.co.nz/c/craft-party-stationery/stationery-office/paper,office-craft
health-beauty/healthbeauty-hairremoval/healthbeauty-hairremoval-womenshairremoval,Women's Hair Removal,3,,,http://www.thewarehouse.co.nz/c/health-beauty/hair-removal/womens-hair-removal,beauty-personal-care
toys-baby/toysbaby-babytoddler/toysbaby-babytoddler-safety,Safety,3,,,http://www.thewarehouse.co.nz/c/toys-baby/baby-toddler/safety-,baby-care-toys
home-garden/homegarden-gardening/homegarden-gardening-potsplanters,Pots & Planters,3,,,http://www.thewarehouse.co.nz/c/home-garden/gardening/pots-planters,garden
books-music-movies,"Books, Music & Movies",1,,,http://www.thewarehouse.co.nz/c/books-music-movies,books-music-movies
home-garden/homegarden-furniture/homegarden-furniture-barstools,Barstools,3,,,http://www.thewarehouse.co.nz/c/home-garden/furniture/barstools,home-furniture
health-beauty/healthbeauty-bathbody/healthbeauty-bathbody-bodycreamlotion,Body Cream & Lotion,3,,,http://www.thewarehouse.co.nz/c/health-beauty/bath-body/body-cream-lotion,beauty-personal-care
health-beauty/healthbeauty-skincare/healthbeauty-skincare-antiaging,Anti-Aging,3,,,http://www.thewarehouse.co.nz/c/health-beauty/skin-care/anti-aging,beauty-personal-care
food-pets-household/foodhouseholdpets-topbrands/foodhouseholdpets-topbrands-Cadbury,Cadbury,3,,,http://www.thewarehouse.co.nz/c/food-pets-household/top-brands/cadbury,chocolate-sweets-snacks
health-beauty/healthbeauty-bathbody/healthbeauty-bathbody-bathaccessories,Bath Accessories,3,,,http://www.thewarehouse.co.nz/c/health-beauty/bath-body/bath-accessories,beauty-personal-care
food-pets-household/foodhouseholdpets-petcare/foodhouseholdpets-petcare-dogs,Dogs,3,,,http://www.thewarehouse.co.nz/c/food-pets-household/pet-care/dogs,pet-care
sports-outdoors/sportsoutdoors-indoorsports/sportsoutdoors-indoorsports-dartssnooker,Darts & Snooker,3,,,http://www.thewarehouse.co.nz/c/sports-outdoors/indoor-sports/darts-snooker,sports-outdoors
clothing-jewellery/clothingshoesjewellery-bagsluggage/clothingshoesjewellery-bagsluggage-backpackssportsbags,Backpacks & Sports,3,,,http://www.thewarehouse.co.nz/c/clothing-jewellery/bags-luggage/backpacks-sports,clothing-shoes-bags
health-beauty/healthbeauty-skincare/healthbeauty-skincare-mensskincare,Men's Skincare,3,,,http://www.thewarehouse.co.nz/c/health-beauty/skin-care/mens-skincare,beauty-personal-care
books-music-movies/booksmusicmovies-books/booksmusicmovies-books-teenbooks,Teen Books,3,,,http://www.thewarehouse.co.nz/c/books-music-movies/books/teen-books,books-music-movies
toys-baby/toysbaby-babytoddler/toysbaby-babytoddler-foodformula,Food & Formula,3,,,http://www.thewarehouse.co.nz/c/toys-baby/baby-toddler/food-formula-,baby-care-toys
home-garden/homegarden-furniture/homegarden-furniture-beanbags,Bean Bags,3,,,http://www.thewarehouse.co.nz/c/home-garden/furniture/bean-bags,home-furniture
toys-baby/toysbaby-nurseryfurniture/toysbaby-nurseryfurniture-playtime,Playtime,3,,,http://www.thewarehouse.co.nz/c/toys-baby/nursery-furniture/playtime,baby-care-toys
clothing-jewellery/clothingshoesjewellery-mensclothing/clothingshoesjewellery-mensclothing-jeansshortspants,"Jeans, Shorts & Pants",3,,,http://www.thewarehouse.co.nz/c/clothing-jewellery/mens-clothing/jeans-shorts-pants,clothing-shoes-bags
home-garden/homegarden-homewares/homegarden-homewares-dining,Dining & Tableware,3,,,http://www.thewarehouse.co.nz/c/home-garden/homewares/dining-tableware,home-furniture
food-pets-household/foodhouseholdpets-petcare/foodhouseholdpets-petcare-bedding,Bedding,3,,,http://www.thewarehouse.co.nz/c/food-pets-household/pet-care/bedding,pet-care
